politician/institution,date,answer,pct_estimate,lo,hi
Supreme Court,2023-11-19,Approve,37.39710552905525,32.42534098758257,42.36887007052793
Supreme Court,2023-11-19,Disapprove,53.823989301126566,48.143640078102834,59.5043385241503
Supreme Court,2023-11-18,Approve,37.41766749608788,32.4459029546152,42.38943203756056
Supreme Court,2023-11-18,Disapprove,53.89644490508929,48.21609568206556,59.57679412811302
Supreme Court,2023-11-17,Approve,37.41766749608787,32.44590295461519,42.38943203756055
Supreme Court,2023-11-17,Disapprove,53.89644490508928,48.21609568206555,59.576794128113015
Supreme Court,2023-11-16,Approve,37.41700321112918,32.445230531695785,42.38877589056257
Supreme Court,2023-11-16,Disapprove,53.89622457166574,48.21586879942116,59.57658034391032
Supreme Court,2023-11-15,Approve,37.41727439642912,32.44568907637463,42.388859716483616
Supreme Court,2023-11-15,Disapprove,53.90279026762997,48.22391293161182,59.581667603648114
Supreme Court,2023-11-14,Approve,37.97697168634734,32.98549228238826,42.968451090306424
Supreme Court,2023-11-14,Disapprove,53.89120217135472,48.169392358462986,59.613011984246455
Supreme Court,2023-11-13,Approve,37.08211756497328,32.10246238615845,42.06177274378811
Supreme Court,2023-11-13,Disapprove,54.4467790775481,48.71162406535504,60.18193408974116
Supreme Court,2023-11-12,Approve,37.082117564973274,32.10246238615844,42.061772743788104
Supreme Court,2023-11-12,Disapprove,54.4467790775481,48.71162406535504,60.18193408974116
Supreme Court,2023-11-11,Approve,37.082117564973274,32.10246238615844,42.061772743788104
Supreme Court,2023-11-11,Disapprove,54.4467790775481,48.71162406535504,60.18193408974116
Supreme Court,2023-11-10,Approve,37.08211756497328,32.10246238615845,42.06177274378811
Supreme Court,2023-11-10,Disapprove,54.4467790775481,48.71162406535504,60.18193408974116
Supreme Court,2023-11-09,Approve,37.08211756497328,32.10246238615845,42.06177274378811
Supreme Court,2023-11-09,Disapprove,54.446779077548086,48.711624065355025,60.18193408974115
Supreme Court,2023-11-08,Approve,37.08091879007473,32.10124685855324,42.06059072159623
Supreme Court,2023-11-08,Disapprove,54.446759824244666,48.71158271680086,60.18193693168847
Supreme Court,2023-11-07,Approve,37.071971013000265,32.092298289122965,42.051643736877566
Supreme Court,2023-11-07,Disapprove,54.423566203586866,48.688389526473784,60.15874288069995
Supreme Court,2023-11-06,Approve,36.618968522330405,31.633528982752843,41.60440806190797
